Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Feminino;2;2;234;11
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Masculino;1;1;217;11
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Feminino;2;2;174;9
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Masculino;1;1;134;6
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 18 a 19 anos;5;5;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 18 a 19 anos;5;5;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Masculino;1;1;317;14
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Feminino;2;2;433;19
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Masculino;1;1;560;26
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;480;23
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Masculino;1;1;586;29
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;636;29
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Masculino;1;1;378;17
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Feminino;2;2;212;12
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Masculino;1;1;325;18
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Feminino;2;2;291;14
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 45 a 49 anos;11;11;Masculino;1;1;219;10
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 45 a 49 anos;11;11;Feminino;2;2;266;11
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Masculino;1;1;168;7
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 55 a 59 anos;13;13;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 55 a 59 anos;13;13;Feminino;2;2;111;6
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 65 a 69 anos;15;15;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 65 a 69 anos;15;15;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 70 a 74 anos;16;16;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 70 a 74 anos;16;16;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 75 a 79 anos;17;17;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 80 a 84 anos;18;18;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 80 a 84 anos;18;18;Feminino;2;2;X;X
9235;Município (2010);4107652;FAZENDA RIO GRANDE;15;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9235;Município (2010);4107652;FAZENDA RIO GRANDE;15;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9235;Município (2010);4107652;FAZENDA RIO GRANDE;15;2010;8030;31/07/2010;País estrangeiro;2;2;De 18 a 19 anos;5;5;Feminino;2;2;X;X
9235;Município (2010);4107652;FAZENDA RIO GRANDE;15;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4107652;FAZENDA RIO GRANDE;15;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4113205;LAPA;17;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4113205;LAPA;17;2010;8030;31/07/2010;País estrangeiro;2;2;De 55 a 59 anos;13;13;Masculino;1;1;X;X
9235;Município (2010);4113205;LAPA;17;2010;8030;31/07/2010;País estrangeiro;2;2;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9235;Município (2010);4114302;MANDIRITUBA;18;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4114302;MANDIRITUBA;18;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4114302;MANDIRITUBA;18;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Masculino;1;1;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Masculino;1;1;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 65 a 69 anos;15;15;Masculino;1;1;X;X
9235;Município (2010);4119152;PINHAIS;19;2010;8030;31/07/2010;País estrangeiro;2;2;De 75 a 79 anos;17;17;Masculino;1;1;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Masculino;1;1;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 45 a 49 anos;11;11;Feminino;2;2;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Masculino;1;1;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 65 a 69 anos;15;15;Feminino;2;2;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 80 a 84 anos;18;18;Masculino;1;1;X;X
9235;Município (2010);4119509;PIRAQUARA;20;2010;8030;31/07/2010;País estrangeiro;2;2;De 80 a 84 anos;18;18;Feminino;2;2;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Feminino;2;2;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Feminino;2;2;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 18 a 19 anos;5;5;Feminino;2;2;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 45 a 49 anos;11;11;Masculino;1;1;X;X
9235;Município (2010);4120804;QUATRO BARRAS;21;2010;8030;31/07/2010;País estrangeiro;2;2;De 80 a 84 anos;18;18;Masculino;1;1;X;X
9235;Município (2010);4121208;QUITANDINHA;22;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4121208;QUITANDINHA;22;2010;8030;31/07/2010;País estrangeiro;2;2;De 55 a 59 anos;13;13;Feminino;2;2;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 10 a 14 anos;3;3;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 15 a 17 anos;4;4;Feminino;2;2;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Feminino;2;2;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 30 a 34 anos;8;8;Feminino;2;2;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 35 a 39 anos;9;9;Feminino;2;2;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Feminino;2;2;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 45 a 49 anos;11;11;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9235;Município (2010);4125506;SÃO JOSÉ DOS PINHAIS;24;2010;8030;31/07/2010;País estrangeiro;2;2;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9235;Município (2010);4127601;TIJUCAS DO SUL;25;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Masculino;1;1;X;X
9235;Município (2010);4119103;PIÊN;29;2010;8030;31/07/2010;País estrangeiro;2;2;De 20 a 24 anos;6;6;Masculino;1;1;X;X
9235;Município (2010);4122305;RIO NEGRO;30;2010;8030;31/07/2010;País estrangeiro;2;2;De 25 a 29 anos;7;7;Feminino;2;2;X;X
